2024-10-25 17:30:02,112 - [Camera] - INFO - cam is initialized
2024-10-25 17:30:09,318 - [Camera] - DEBUG - flag center: (138, 88)
2024-10-25 17:30:35,796 - [Camera] - INFO - cam is initialized
2024-10-25 17:30:42,980 - [Camera] - DEBUG - flag center: (147, 77)
2024-10-25 17:34:34,340 - [Camera] - INFO - cam is initialized
2024-10-25 17:34:40,342 - [Camera] - DEBUG - 330, 420
2024-10-25 17:34:41,387 - [Camera] - DEBUG - 356, 420
2024-10-25 17:34:42,493 - [Camera] - DEBUG - 377, 420
2024-10-25 17:34:43,577 - [Camera] - DEBUG - 401, 420
2024-10-25 17:34:44,682 - [Camera] - DEBUG - 425, 420
2024-10-25 17:35:58,185 - [Camera] - INFO - cam is initialized
2024-10-25 17:36:04,106 - [Camera] - DEBUG - 340, 420
2024-10-25 17:36:05,175 - [Camera] - DEBUG - 364, 420
2024-10-25 17:36:06,288 - [Camera] - DEBUG - 386, 420
2024-10-25 17:36:07,377 - [Camera] - DEBUG - 404, 420
2024-10-25 17:36:08,477 - [Camera] - DEBUG - 426, 420
2024-10-25 17:36:21,260 - [Camera] - DEBUG - flag center: (77, 91)
2024-10-25 17:36:32,472 - [Camera] - DEBUG - flag center: (0, 351)
2024-10-25 17:40:26,867 - [Camera] - INFO - cam is initialized
2024-10-25 17:40:32,870 - [Camera] - DEBUG - 347, 420
2024-10-25 17:40:33,920 - [Camera] - DEBUG - 365, 420
2024-10-25 17:40:35,065 - [Camera] - DEBUG - 383, 420
2024-10-25 17:40:36,189 - [Camera] - DEBUG - 405, 420
2024-10-25 17:40:37,254 - [Camera] - DEBUG - 426, 420
2024-10-25 17:40:50,061 - [Camera] - DEBUG - flag center: (135, 61)
2024-10-25 17:40:54,788 - [Camera] - DEBUG - flag center: (176, 91)
2024-10-25 17:40:56,512 - [Camera] - DEBUG - flag center: (197, 75)
2024-10-25 17:40:58,203 - [Camera] - DEBUG - flag center: (232, 76)
2024-10-25 17:40:59,908 - [Camera] - DEBUG - flag center: (271, 74)
2024-10-25 17:41:01,622 - [Camera] - DEBUG - flag center: (304, 74)
2024-10-25 17:41:03,278 - [Camera] - DEBUG - flag center: (346, 66)
2024-10-25 17:41:04,972 - [Camera] - DEBUG - flag center: (374, 78)
2024-10-25 17:41:06,676 - [Camera] - DEBUG - flag center: (405, 87)
2024-10-25 17:41:08,379 - [Camera] - DEBUG - flag center: (439, 95)
2024-10-25 17:41:10,105 - [Camera] - DEBUG - flag center: (434, 99)
2024-10-25 17:41:11,822 - [Camera] - DEBUG - flag center: (410, 89)
2024-10-25 17:41:13,506 - [Camera] - DEBUG - flag center: (451, 85)
2024-10-25 17:41:15,214 - [Camera] - DEBUG - flag center: (441, 96)
2024-10-25 17:41:16,919 - [Camera] - DEBUG - flag center: (432, 81)
2024-10-25 17:41:18,627 - [Camera] - DEBUG - flag center: (419, 81)
2024-10-25 17:41:20,715 - [Camera] - DEBUG - [210, 39]
2024-10-25 17:41:30,894 - [Camera] - DEBUG - 220, 420
2024-10-25 17:41:31,992 - [Camera] - DEBUG - 119, 420
2024-10-25 17:41:33,092 - [Camera] - DEBUG - 140, 420
